image,variant,psnr,entropy_cover,entropy_stego,entropy_diff,lsb_entropy_cover,lsb_entropy_stego,lsb_entropy_diff,modified_bits,modified_percent
airplane,lsb1,51.5312479808636,6.663908051897585,6.663086308564159,-0.000821743333426106,0.9999487928988025,0.9962500299252846,-0.0036987629735178995,359432,5.713017781575521
airplane,lsb4,38.46442259508568,6.663908051897585,6.66675114994512,0.002843098047534909,0.9999487928988025,0.9966745673597908,-0.003274225539011688,358924,5.704943339029947
airplane,lsbi,50.41800700183295,6.663908051897585,6.663542880680954,-0.000365171216631488,0.9999487928988025,0.996420221143896,-0.0035285717549065065,360593,5.731471379597982
baboon,lsb4,37.53358050462964,6.950279500803191,7.2329686636212,0.28268916281800927,0.9992177458166955,0.9982896821176638,-0.0009280636990317559,369932,6.422430555555556
lenna,lsb1,51.583688514315035,5.68222474874237,6.667882229665676,0.9856574809233063,0.9937274078144787,0.9968490361059834,0.003121628291504752,355118,5.644448598225912
lenna,lsb4,38.959583551189596,5.68222474874237,6.5120806397116615,0.8298558909692915,0.9937274078144787,0.9862354327185621,-0.007491975095916592,381807,6.068658828735352
lenna,lsbi,51.41336358796941,5.68222474874237,6.6662668203280635,0.9840420715856935,0.9937274078144787,0.9957839297247599,0.0020565219102812726,359125,5.708138147989908
pepper,lsb1,51.53843110088977,7.669825514176317,7.694989408189027,0.02516389401271013,0.9986910005295664,0.9962179106980704,-0.002473089831495967,358838,5.7035764058430996
pepper,lsb4,38.57764041820024,7.669825514176317,7.674781902920025,0.004956388743708295,0.9986910005295664,0.9945523292032222,-0.004138671326344157,358808,5.703099568684896
pepper,lsbi,51.286369102640975,7.669825514176317,7.6946307850781235,0.02480527090180651,0.9986910005295664,0.9964522383723698,-0.002238762157196539,361629,5.74793815612793
